[DEBUG] 2021-10-20 19:42:44.651 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-10-20 19:42:44.664 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-10-20 19:42:44.671 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-10-20 19:42:44.947 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-10-20 19:42:44.953 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-10-20 19:42:46.105 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-10-20 19:42:46.114 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-10-20 19:42:46.132 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-10-20 19:42:47.316 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-10-20 19:42:47.401 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-10-20 19:42:47.406 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-10-20 19:42:47.465 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-10-20 19:42:47.604 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@c3fa05a
[DEBUG] 2021-10-20 19:42:47.605 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@c3fa05a
[DEBUG] 2021-10-20 19:42:47.605 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@c3fa05a
[DEBUG] 2021-10-20 19:42:47.605 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4905c46b
[DEBUG] 2021-10-20 19:42:47.606 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@2b87581
[DEBUG] 2021-10-20 19:42:47.607 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@286b39c2
[DEBUG] 2021-10-20 19:42:47.609 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2c779e5
[DEBUG] 2021-10-20 19:42:47.610 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2c779e5
[DEBUG] 2021-10-20 19:42:47.610 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2c779e5
[DEBUG] 2021-10-20 19:42:47.611 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@5328a9c1
[DEBUG] 2021-10-20 19:42:47.612 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@5328a9c1
[DEBUG] 2021-10-20 19:42:47.612 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@5328a9c1
[DEBUG] 2021-10-20 19:42:47.613 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@16fe9c29
[DEBUG] 2021-10-20 19:42:47.613 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@16fe9c29
[DEBUG] 2021-10-20 19:42:47.613 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@16fe9c29
[DEBUG] 2021-10-20 19:42:47.614 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@4d4960c8
[DEBUG] 2021-10-20 19:42:47.614 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@4d4960c8
[DEBUG] 2021-10-20 19:42:47.614 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@4d4960c8
[DEBUG] 2021-10-20 19:42:47.615 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@6ce90bc5
[DEBUG] 2021-10-20 19:42:47.615 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@6ce90bc5
[DEBUG] 2021-10-20 19:42:47.615 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@6ce90bc5
[DEBUG] 2021-10-20 19:42:47.616 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@27f1bbe0
[DEBUG] 2021-10-20 19:42:47.616 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@27f1bbe0
[DEBUG] 2021-10-20 19:42:47.616 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@27f1bbe0
[DEBUG] 2021-10-20 19:42:47.617 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@7c28c1
[DEBUG] 2021-10-20 19:42:47.617 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@7c28c1
[DEBUG] 2021-10-20 19:42:47.618 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@7c28c1
[DEBUG] 2021-10-20 19:42:47.619 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@5b3f3ba0
[DEBUG] 2021-10-20 19:42:47.619 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@5b3f3ba0
[DEBUG] 2021-10-20 19:42:47.620 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@5eeedb60
[DEBUG] 2021-10-20 19:42:47.620 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@5eeedb60
[DEBUG] 2021-10-20 19:42:47.620 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@2b9b7f1f
[DEBUG] 2021-10-20 19:42:47.620 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@2b9b7f1f
[DEBUG] 2021-10-20 19:42:47.621 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@19593091
[DEBUG] 2021-10-20 19:42:47.621 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@5e742e4
[DEBUG] 2021-10-20 19:42:47.622 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@1dab9dd6
[DEBUG] 2021-10-20 19:42:47.623 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1dab9dd6
[DEBUG] 2021-10-20 19:42:47.624 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@2f879bab
[DEBUG] 2021-10-20 19:42:47.625 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@2f879bab
[DEBUG] 2021-10-20 19:42:47.629 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@37a64f9d
[DEBUG] 2021-10-20 19:42:47.630 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@37a64f9d
[DEBUG] 2021-10-20 19:42:47.631 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@21f9277b
[DEBUG] 2021-10-20 19:42:47.631 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@21f9277b
[DEBUG] 2021-10-20 19:42:47.632 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@1d782abe
[DEBUG] 2021-10-20 19:42:47.633 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@1d782abe
[DEBUG] 2021-10-20 19:42:47.634 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@66bfd864
[DEBUG] 2021-10-20 19:42:47.634 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@66bfd864
[DEBUG] 2021-10-20 19:42:47.635 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5486887b
[DEBUG] 2021-10-20 19:42:47.635 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5486887b
[DEBUG] 2021-10-20 19:42:47.636 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@4d33940d
[DEBUG] 2021-10-20 19:42:47.637 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@4d33940d
[DEBUG] 2021-10-20 19:42:47.638 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7051777c
[DEBUG] 2021-10-20 19:42:47.639 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7051777c
[DEBUG] 2021-10-20 19:42:47.641 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@71178a52
[DEBUG] 2021-10-20 19:42:47.641 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@71178a52
[DEBUG] 2021-10-20 19:42:47.642 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@29be7749
[DEBUG] 2021-10-20 19:42:47.643 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@29be7749
[DEBUG] 2021-10-20 19:42:47.643 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@78411116
[DEBUG] 2021-10-20 19:42:47.644 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@78411116
[DEBUG] 2021-10-20 19:42:47.644 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@78411116
[DEBUG] 2021-10-20 19:42:47.645 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@1e63d216
[DEBUG] 2021-10-20 19:42:47.646 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@35f8a9d3
[DEBUG] 2021-10-20 19:42:47.646 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@35f8a9d3
[DEBUG] 2021-10-20 19:42:47.646 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@35f8a9d3
[DEBUG] 2021-10-20 19:42:47.647 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@a50ae65
[DEBUG] 2021-10-20 19:42:47.649 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@1473b8c0
[DEBUG] 2021-10-20 19:42:47.649 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@1473b8c0
[DEBUG] 2021-10-20 19:42:47.652 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@33abde31
[DEBUG] 2021-10-20 19:42:47.652 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@33abde31
[DEBUG] 2021-10-20 19:42:47.653 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@b558294
[DEBUG] 2021-10-20 19:42:47.653 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@b558294
[DEBUG] 2021-10-20 19:42:47.658 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@3bcd426c
[DEBUG] 2021-10-20 19:42:47.659 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@3bcd426c
[DEBUG] 2021-10-20 19:42:47.662 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@160396db
[DEBUG] 2021-10-20 19:42:47.662 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@160396db
[DEBUG] 2021-10-20 19:42:47.662 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@65cc8228
[DEBUG] 2021-10-20 19:42:47.663 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@368d5c00
